City_ID,City,,,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
322,shakawe,,,1528905485,23,-18.36,21.84,73.93,5.19
323,nemuro,,,1528905486,100,43.32,145.57,48.64,17.83
324,miramar,,,1528902000,61,10.09,-84.73,80.6,3.36
325,kerman,,,1528902000,5,30.29,57.06,91.4,13.87
326,davidson,,,1528905600,65,35.5,-80.85,78.8,4.7
327,oksfjord,,,1528903200,65,70.24,22.35,46.4,10.29
328,wattegama,,,1528905487,97,7.35,80.68,71.41,5.75
329,inyonga,,,1528905487,32,-6.72,32.06,79.42,3.18
330,saint george,,,1528903200,54,39.45,22.34,80.6,8.05
331,jabinyanah,,,1528902000,47,35.03,10.91,80.6,13.87
332,siddipet,,,1528905488,58,18.1,78.85,84.1,11.68
333,praia da vitoria,,,1528902000,78,38.73,-27.07,75.2,10.22
334,duluth,,,1528904100,46,46.77,-92.13,73.4,8.05
335,oistins,,,1528902000,66,13.07,-59.53,86,25.28
336,san onofre,,,1528905495,93,9.74,-75.52,86.44,5.3
337,avera,,,1528904100,83,33.19,-82.53,78.8,3.74
338,alizai,,,1528905496,30,33.94,71.55,89.77,3.29
339,bela,,,1528905496,29,26.23,66.31,93.37,10.33
340,kalas,,,1528903800,25,33.49,72.96,98.6,4.97
341,gisborne,,,1528905498,86,-38.66,178.02,52.6,10.67
342,yuryevets,,,1528905498,69,57.32,43.11,60.7,15.03
343,bundaberg,,,1528905498,100,-24.87,152.35,64.66,12.01
344,griffith,,,1528905499,90,-34.29,146.06,50.62,8.88
345,raudeberg,,,1528903200,71,61.99,5.14,60.8,11.41
346,rio gallegos,,,1528902000,86,-51.62,-69.22,33.8,5.82
347,antalaha,,,1528905500,85,-14.9,50.28,75.01,14.14
348,houma,,,1528905500,58,35.63,111.36,62.32,2.51
349,verkhoyansk,,,1528905500,63,67.55,133.39,56.29,2.62
350,donskoye,,,1528902000,30,45.45,41.98,80.6,6.71
351,mogadishu,,,1528905402,100,2.04,45.34,78.25,22.08
352,lewistown,,,1528904100,53,40.39,-90.15,78.8,12.75
353,leningradskiy,,,1528905501,88,69.38,178.42,33.79,21.74
354,airai,,,1528905503,93,-8.93,125.41,68.98,1.72
355,nantucket,,,1528904100,77,41.28,-70.1,69.8,17.22
356,mount gambier,,,1528905506,81,-37.83,140.78,49.72,6.87
357,katobu,,,1528905506,100,-4.94,122.53,77.98,2.62
358,baiyin,,,1528902000,31,36.55,104.13,60.8,4.47
359,jumla,,,1528905507,95,29.28,82.18,37.75,2.51
360,voh,,,1528905507,100,-20.95,164.69,71.59,14.81
361,kamaishi,,,1528905507,78,39.28,141.86,53.95,12.8
362,jurm,,,1528905508,100,36.86,70.83,40.09,1.61
363,la ronge,,,1528902000,76,55.1,-105.3,53.6,8.05
364,paragominas,,,1528905508,56,-3,-47.35,91.93,5.41
365,fairbanks,,,1528901880,75,64.84,-147.72,42.8,3.36
366,poum,,,1528903800,47,41.28,20.71,78.8,8.05
367,boyle,,,1528902000,100,53.97,-8.3,55.4,18.34
368,klaksvik,,,1528903200,93,62.23,-6.59,48.2,19.46
369,aleksandro-nevskiy,,,1528905510,49,53.48,40.21,74.2,9.78
370,graham,,,1528905240,78,36.07,-79.4,75.2,9.17
371,paraiso,,,1528901040,68,24.01,-104.61,66.2,3.36
372,nishihara,,,1528902000,68,35.74,139.53,69.8,3.36
373,charyshskoye,,,1528905511,37,51.4,83.56,69.7,3.4
374,struer,,,1528903200,63,56.48,8.6,60.8,17.22
375,hualmay,,,1528905511,77,-11.1,-77.61,65.02,3.62
376,ystad,,,1528903200,60,55.43,13.82,68,13.87
377,buin,,,1528905600,65,-33.73,-70.74,46.4,3.36
378,gamboma,,,1528905516,64,-1.87,15.88,87.34,6.53
379,bristol,,,1528903200,77,51.45,-2.6,68,10.29
380,imbituba,,,1528902000,64,-28.24,-48.67,69.8,3.36
381,comrie,,,1528903200,72,56.09,-3.58,60.8,14.99
382,esil,,,1528905517,50,51.96,66.41,60.25,7.65
383,lompoc,,,1528904100,63,34.64,-120.46,62.6,2.51
384,coihaique,,,1528902000,85,-45.58,-72.07,33.8,2.24
385,hamilton,,,1528901700,73,32.3,-64.78,77,10.29
386,hasaki,,,1528902000,93,35.73,140.83,64.4,3.36
387,kajaani,,,1528903200,52,64.22,27.73,53.6,4.7
388,tupik,,,1528905520,63,54.43,119.94,51.25,4.63
389,kloulklubed,,,1528901700,83,7.04,134.26,82.4,9.17
390,kieta,,,1528905520,100,-6.22,155.63,76.81,2.73
391,maldonado,,,1528902000,76,-34.91,-54.96,51.8,19.46
392,smithers,,,1528902000,81,54.78,-127.17,48.2,2.62
393,mareeba,,,1528902000,93,-16.99,145.42,60.8,3.4
394,kaputa,,,1528905521,29,-8.47,29.66,78.88,3.62
395,lira,,,1528905521,45,2.25,32.9,82.39,8.21
396,constitucion,,,1528901040,68,23.99,-104.67,66.2,3.36
397,ternate,,,1528902000,100,14.29,120.72,77,10.29
398,haines junction,,,1528905526,52,60.75,-137.51,42.79,2.62
399,zagora,,,1528903800,73,46.19,15.87,71.6,2.24
400,zhongxing,,,1528905527,69,32.02,116.14,74.29,7.99
